"用户ID","房间特征","运行效率","耗材","对比","时间"
"1001","30㎡公寓 | 西晒 | 独居 | 卧室","制冷效果:良好\n日均运行:5小时\n月用电量:120度\n温差:±1℃","滤网寿命:剩余80天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于75%同户型用户（用电量较低）","2025-01"
"1002","60㎡两居 | 朝南 | 情侣 | 客厅+卧室","制热效果:良好\n日均运行:6小时\n月用电量:150度\n温差:±1.5℃","滤网寿命:剩余75天\n制冷剂:充足\n电辅热:偶尔开启\n压缩机状态:正常","与同类用户持平","2025-01"
"1003","80㎡三居 | 东西向 | 有猫 | 客厅+卧室","制热效果:一般\n日均运行:7小时\n月用电量:180度\n温差:±2℃","滤网寿命:剩余70天\n制冷剂:充足\n电辅热:经常开启\n压缩机状态:正常","制热效果低于同类10%","2025-01"
"1004","90㎡三居 | 北向 | 有老人 | 卧室+客厅","制热效果:良好\n日均运行:8小时\n月用电量:200度\n温差:±1℃","滤网寿命:剩余85天\n制冷剂:充足\n电辅热:开启\n压缩机状态:正常","优于85%同朝向用户","2025-01"
"1005","200㎡别墅 | 多房间 | 中央空调","制热效果:优秀\n日均运行:10小时\n月用电量:350度\n温差:±0.5℃","滤网寿命:剩余90天\n制冷剂:充足\n电辅热:智能控制\n压缩机状态:正常","能耗高于同类15%（面积大）","2025-01"
"1006","100㎡复式 | 有儿童 | 上下层","制热效果:一般\n日均运行:9小时\n月用电量:220度\n温差:±2℃","滤网寿命:剩余65天\n制冷剂:充足\n电辅热:开启\n压缩机状态:正常","下层制热效果差，建议检查","2025-01"
"1007","40㎡一居 | 朝东 | 独居","制热效果:良好\n日均运行:4小时\n月用电量:90度\n温差:±1℃","滤网寿命:剩余95天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","节能表现前10%","2025-01"
"1008","120㎡三居 | 西晒 | 三口之家 | 客厅大","制热效果:优秀\n日均运行:8小时\n月用电量:210度\n温差:±1℃","滤网寿命:剩余80天\n制冷剂:充足\n电辅热:偶尔开启\n压缩机状态:正常","西晒房间保温良好","2025-01"
"1009","70㎡两居 | 南北通透 | 养狗","制热效果:良好\n日均运行:5小时\n月用电量:130度\n温差:±1.5℃","滤网寿命:剩余85天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于同类5%","2025-01"
"1010","50㎡一居 | 朝北 | 出租房","制热效果:较差\n日均运行:6小时\n月用电量:160度\n温差:±3℃","滤网寿命:剩余60天\n制冷剂:微漏需补充\n电辅热:开启\n压缩机状态:异响","急需维护，能效低于同类30%","2025-01"
"1001","30㎡公寓 | 西晒 | 独居 | 卧室","制热效果:良好\n日均运行:4.5小时\n月用电量:110度\n温差:±1℃","滤网寿命:剩余75天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于78%同户型用户","2025-02"
"1002","60㎡两居 | 朝南 | 情侣 | 客厅+卧室","制热效果:良好\n日均运行:5.5小时\n月用电量:140度\n温差:±1.5℃","滤网寿命:剩余70天\n制冷剂:充足\n电辅热:偶尔开启\n压缩机状态:正常","与同类持平","2025-02"
"1003","80㎡三居 | 东西向 | 有猫 | 客厅+卧室","制热效果:一般\n日均运行:6.5小时\n月用电量:170度\n温差:±2℃","滤网寿命:剩余65天\n制冷剂:充足\n电辅热:经常开启\n压缩机状态:正常","制热效果低于同类12%","2025-02"
"1004","90㎡三居 | 北向 | 有老人 | 卧室+客厅","制热效果:良好\n日均运行:7.5小时\n月用电量:190度\n温差:±1℃","滤网寿命:剩余80天\n制冷剂:充足\n电辅热:开启\n压缩机状态:正常","优于80%同朝向用户","2025-02"
"1005","200㎡别墅 | 多房间 | 中央空调","制热效果:优秀\n日均运行:9.5小时\n月用电量:330度\n温差:±0.5℃","滤网寿命:剩余85天\n制冷剂:充足\n电辅热:智能控制\n压缩机状态:正常","能耗高于同类12%","2025-02"
"1006","100㎡复式 | 有儿童 | 上下层","制热效果:一般\n日均运行:8.5小时\n月用电量:210度\n温差:±2℃","滤网寿命:剩余60天\n制冷剂:充足\n电辅热:开启\n压缩机状态:正常","下层制热改善不明显","2025-02"
"1007","40㎡一居 | 朝东 | 独居","制热效果:良好\n日均运行:3.5小时\n月用电量:85度\n温差:±1℃","滤网寿命:剩余90天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","节能表现前8%","2025-02"
"1008","120㎡三居 | 西晒 | 三口之家 | 客厅大","制热效果:优秀\n日均运行:7.5小时\n月用电量:200度\n温差:±1℃","滤网寿命:剩余75天\n制冷剂:充足\n电辅热:偶尔开启\n压缩机状态:正常","西晒房间保温良好","2025-02"
"1009","70㎡两居 | 南北通透 | 养狗","制热效果:良好\n日均运行:4.5小时\n月用电量:125度\n温差:±1.5℃","滤网寿命:剩余80天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于同类8%","2025-02"
"1010","50㎡一居 | 朝北 | 出租房","制热效果:较差\n日均运行:5.5小时\n月用电量:155度\n温差:±3℃","滤网寿命:剩余55天\n制冷剂:泄漏加重\n电辅热:开启\n压缩机状态:异响加剧","建议立即维修","2025-02"
"1001","30㎡公寓 | 西晒 | 独居 | 卧室","制冷/热切换:正常\n日均运行:4小时\n月用电量:100度\n温差:±1℃","滤网寿命:剩余70天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于80%同户型用户","2025-03"
"1002","60㎡两居 | 朝南 | 情侣 | 客厅+卧室","制冷/热切换:正常\n日均运行:5小时\n月用电量:130度\n温差:±1.5℃","滤网寿命:剩余65天\n制冷剂:充足\n电辅热:偶尔开启\n压缩机状态:正常","与同类持平","2025-03"
"1003","80㎡三居 | 东西向 | 有猫 | 客厅+卧室","制冷/热切换:正常\n日均运行:6小时\n月用电量:160度\n温差:±2℃","滤网寿命:剩余60天\n制冷剂:充足\n电辅热:经常开启\n压缩机状态:正常","制热效果低于同类15%","2025-03"
"1004","90㎡三居 | 北向 | 有老人 | 卧室+客厅","制冷/热切换:正常\n日均运行:7小时\n月用电量:180度\n温差:±1℃","滤网寿命:剩余75天\n制冷剂:充足\n电辅热:开启\n压缩机状态:正常","优于78%同朝向用户","2025-03"
"1005","200㎡别墅 | 多房间 | 中央空调","制冷/热切换:正常\n日均运行:9小时\n月用电量:310度\n温差:±0.5℃","滤网寿命:剩余80天\n制冷剂:充足\n电辅热:智能控制\n压缩机状态:正常","能耗高于同类10%","2025-03"
"1006","100㎡复式 | 有儿童 | 上下层","制冷/热切换:正常\n日均运行:8小时\n月用电量:200度\n温差:±2℃","滤网寿命:剩余55天\n制冷剂:充足\n电辅热:开启\n压缩机状态:正常","下层效果仍不理想","2025-03"
"1007","40㎡一居 | 朝东 | 独居","制冷/热切换:正常\n日均运行:3小时\n月用电量:80度\n温差:±1℃","滤网寿命:剩余85天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","节能表现前5%","2025-03"
"1008","120㎡三居 | 西晒 | 三口之家 | 客厅大","制冷/热切换:正常\n日均运行:7小时\n月用电量:190度\n温差:±1℃","滤网寿命:剩余70天\n制冷剂:充足\n电辅热:偶尔开启\n压缩机状态:正常","西晒房间保温良好","2025-03"
"1009","70㎡两居 | 南北通透 | 养狗","制冷/热切换:正常\n日均运行:4小时\n月用电量:120度\n温差:±1.5℃","滤网寿命:剩余75天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于同类10%","2025-03"
"1010","50㎡一居 | 朝北 | 出租房","制冷/热切换:异常\n日均运行:5小时\n月用电量:150度\n温差:±3.5℃","滤网寿命:剩余50天\n制冷剂:严重泄漏\n电辅热:开启\n压缩机状态:异响","已联系售后维修","2025-03"
"1001","30㎡公寓 | 西晒 | 独居 | 卧室","制冷效果:优秀\n日均运行:5.5小时\n月用电量:140度\n温差:±0.5℃","滤网寿命:剩余65天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于82%同户型用户","2025-04"
"1002","60㎡两居 | 朝南 | 情侣 | 客厅+卧室","制冷效果:良好\n日均运行:6.5小时\n月用电量:170度\n温差:±1℃","滤网寿命:剩余60天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","与同类持平","2025-04"
"1003","80㎡三居 | 东西向 | 有猫 | 客厅+卧室","制冷效果:一般\n日均运行:7.5小时\n月用电量:200度\n温差:±1.5℃","滤网寿命:剩余55天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","制冷效果低于同类12%","2025-04"
"1004","90㎡三居 | 北向 | 有老人 | 卧室+客厅","制冷效果:良好\n日均运行:8.5小时\n月用电量:220度\n温差:±1℃","滤网寿命:剩余70天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于75%同朝向用户","2025-04"
"1005","200㎡别墅 | 多房间 | 中央空调","制冷效果:优秀\n日均运行:11小时\n月用电量:400度\n温差:±0.5℃","滤网寿命:剩余75天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","能耗高于同类8%","2025-04"
"1006","100㎡复式 | 有儿童 | 上下层","制冷效果:一般\n日均运行:10小时\n月用电量:250度\n温差:±2℃","滤网寿命:剩余50天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","上层制冷好，下层稍差","2025-04"
"1007","40㎡一居 | 朝东 | 独居","制冷效果:良好\n日均运行:4.5小时\n月用电量:100度\n温差:±1℃","滤网寿命:剩余80天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","节能表现前7%","2025-04"
"1008","120㎡三居 | 西晒 | 三口之家 | 客厅大","制冷效果:优秀\n日均运行:9小时\n月用电量:240度\n温差:±0.5℃","滤网寿命:剩余65天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","西晒房间制冷效果佳","2025-04"
"1009","70㎡两居 | 南北通透 | 养狗","制冷效果:良好\n日均运行:5.5小时\n月用电量:150度\n温差:±1℃","滤网寿命:剩余70天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于同类12%","2025-04"
"1010","50㎡一居 | 朝北 | 出租房","制冷效果:较差\n日均运行:6.5小时\n月用电量:180度\n温差:±2.5℃","滤网寿命:剩余45天\n制冷剂:已补充\n电辅热:未使用\n压缩机状态:正常","维修后效果提升","2025-04"
"1001","30㎡公寓 | 西晒 | 独居 | 卧室","制冷效果:优秀\n日均运行:6小时\n月用电量:150度\n温差:±0.5℃","滤网寿命:剩余60天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于85%同户型用户","2025-05"
"1002","60㎡两居 | 朝南 | 情侣 | 客厅+卧室","制冷效果:良好\n日均运行:7小时\n月用电量:180度\n温差:±1℃","滤网寿命:剩余55天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","与同类持平","2025-05"
"1003","80㎡三居 | 东西向 | 有猫 | 客厅+卧室","制冷效果:一般\n日均运行:8小时\n月用电量:210度\n温差:±1.5℃","滤网寿命:剩余50天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","制冷效果低于同类15%","2025-05"
"1004","90㎡三居 | 北向 | 有老人 | 卧室+客厅","制冷效果:良好\n日均运行:9小时\n月用电量:230度\n温差:±1℃","滤网寿命:剩余65天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于72%同朝向用户","2025-05"
"1005","200㎡别墅 | 多房间 | 中央空调","制冷效果:优秀\n日均运行:12小时\n月用电量:420度\n温差:±0.5℃","滤网寿命:剩余70天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","能耗高于同类5%","2025-05"
"1006","100㎡复式 | 有儿童 | 上下层","制冷效果:一般\n日均运行:11小时\n月用电量:260度\n温差:±2℃","滤网寿命:剩余45天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","建议清洗滤网","2025-05"
"1007","40㎡一居 | 朝东 | 独居","制冷效果:良好\n日均运行:5小时\n月用电量:110度\n温差:±1℃","滤网寿命:剩余75天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","节能表现前6%","2025-05"
"1008","120㎡三居 | 西晒 | 三口之家 | 客厅大","制冷效果:优秀\n日均运行:10小时\n月用电量:250度\n温差:±0.5℃","滤网寿命:剩余60天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","西晒房间制冷效果佳","2025-05"
"1009","70㎡两居 | 南北通透 | 养狗","制冷效果:良好\n日均运行:6小时\n月用电量:160度\n温差:±1℃","滤网寿命:剩余65天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于同类15%","2025-05"
"1010","50㎡一居 | 朝北 | 出租房","制冷效果:一般\n日均运行:7小时\n月用电量:190度\n温差:±2℃","滤网寿命:剩余40天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","能效仍低于平均","2025-05"
"1001","30㎡公寓 | 西晒 | 独居 | 卧室","制冷效果:优秀\n日均运行:7小时\n月用电量:180度\n温差:±0.5℃","滤网寿命:剩余55天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于88%同户型用户","2025-06"
"1002","60㎡两居 | 朝南 | 情侣 | 客厅+卧室","制冷效果:良好\n日均运行:8小时\n月用电量:210度\n温差:±1℃","滤网寿命:剩余50天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","与同类持平","2025-06"
"1003","80㎡三居 | 东西向 | 有猫 | 客厅+卧室","制冷效果:一般\n日均运行:9小时\n月用电量:240度\n温差:±1.5℃","滤网寿命:剩余45天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","制冷效果低于同类18%","2025-06"
"1004","90㎡三居 | 北向 | 有老人 | 卧室+客厅","制冷效果:良好\n日均运行:10小时\n月用电量:260度\n温差:±1℃","滤网寿命:剩余60天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于70%同朝向用户","2025-06"
"1005","200㎡别墅 | 多房间 | 中央空调","制冷效果:优秀\n日均运行:13小时\n月用电量:450度\n温差:±0.5℃","滤网寿命:剩余65天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","能耗高于同类3%","2025-06"
"1006","100㎡复式 | 有儿童 | 上下层","制冷效果:一般\n日均运行:12小时\n月用电量:280度\n温差:±2℃","滤网寿命:剩余40天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","建议专业清洗","2025-06"
"1007","40㎡一居 | 朝东 | 独居","制冷效果:良好\n日均运行:6小时\n月用电量:130度\n温差:±1℃","滤网寿命:剩余70天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","节能表现前4%","2025-06"
"1008","120㎡三居 | 西晒 | 三口之家 | 客厅大","制冷效果:优秀\n日均运行:11小时\n月用电量:280度\n温差:±0.5℃","滤网寿命:剩余55天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","西晒房间制冷效果佳","2025-06"
"1009","70㎡两居 | 南北通透 | 养狗","制冷效果:良好\n日均运行:7小时\n月用电量:180度\n温差:±1℃","滤网寿命:剩余60天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于同类18%","2025-06"
