"用户ID","房间特征","运行效率","耗材","对比","时间"
"1010","50㎡一居 | 朝北 | 出租房","制冷效果:一般\n日均运行:8小时\n月用电量:210度\n温差:±2℃","滤网寿命:剩余35天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","滤网需更换","2025-06"
"1001","30㎡公寓 | 西晒 | 独居 | 卧室","制冷效果:优秀\n日均运行:7.5小时\n月用电量:190度\n温差:±0.5℃","滤网寿命:剩余50天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于90%同户型用户","2025-07"
"1002","60㎡两居 | 朝南 | 情侣 | 客厅+卧室","制冷效果:良好\n日均运行:8.5小时\n月用电量:220度\n温差:±1℃","滤网寿命:剩余45天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","与同类持平","2025-07"
"1003","80㎡三居 | 东西向 | 有猫 | 客厅+卧室","制冷效果:一般\n日均运行:9.5小时\n月用电量:250度\n温差:±1.5℃","滤网寿命:剩余40天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","制冷效果低于同类20%","2025-07"
"1004","90㎡三居 | 北向 | 有老人 | 卧室+客厅","制冷效果:良好\n日均运行:10.5小时\n月用电量:270度\n温差:±1℃","滤网寿命:剩余55天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于68%同朝向用户","2025-07"
"1005","200㎡别墅 | 多房间 | 中央空调","制冷效果:优秀\n日均运行:14小时\n月用电量:480度\n温差:±0.5℃","滤网寿命:剩余60天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","能耗高于同类2%","2025-07"
"1006","100㎡复式 | 有儿童 | 上下层","制冷效果:一般\n日均运行:13小时\n月用电量:300度\n温差:±2℃","滤网寿命:剩余35天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","需清洗滤网和检查冷媒","2025-07"
"1007","40㎡一居 | 朝东 | 独居","制冷效果:良好\n日均运行:6.5小时\n月用电量:140度\n温差:±1℃","滤网寿命:剩余65天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","节能表现前3%","2025-07"
"1008","120㎡三居 | 西晒 | 三口之家 | 客厅大","制冷效果:优秀\n日均运行:12小时\n月用电量:300度\n温差:±0.5℃","滤网寿命:剩余50天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","西晒房间制冷效果佳","2025-07"
"1009","70㎡两居 | 南北通透 | 养狗","制冷效果:良好\n日均运行:7.5小时\n月用电量:190度\n温差:±1℃","滤网寿命:剩余55天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于同类20%","2025-07"
"1010","50㎡一居 | 朝北 | 出租房","制冷效果:一般\n日均运行:8.5小时\n月用电量:220度\n温差:±2℃","滤网寿命:剩余30天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","滤网已更换","2025-07"
"1001","30㎡公寓 | 西晒 | 独居 | 卧室","制冷效果:优秀\n日均运行:7小时\n月用电量:185度\n温差:±0.5℃","滤网寿命:剩余45天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于88%同户型用户","2025-08"
"1002","60㎡两居 | 朝南 | 情侣 | 客厅+卧室","制冷效果:良好\n日均运行:8小时\n月用电量:215度\n温差:±1℃","滤网寿命:剩余40天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","与同类持平","2025-08"
"1003","80㎡三居 | 东西向 | 有猫 | 客厅+卧室","制冷效果:一般\n日均运行:9小时\n月用电量:245度\n温差:±1.5℃","滤网寿命:剩余35天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","制冷效果低于同类18%","2025-08"
"1004","90㎡三居 | 北向 | 有老人 | 卧室+客厅","制冷效果:良好\n日均运行:10小时\n月用电量:265度\n温差:±1℃","滤网寿命:剩余50天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于72%同朝向用户","2025-08"
"1005","200㎡别墅 | 多房间 | 中央空调","制冷效果:优秀\n日均运行:13.5小时\n月用电量:470度\n温差:±0.5℃","滤网寿命:剩余55天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","能耗高于同类1%","2025-08"
"1006","100㎡复式 | 有儿童 | 上下层","制冷效果:一般\n日均运行:12.5小时\n月用电量:290度\n温差:±2℃","滤网寿命:剩余30天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","清洗后效果改善","2025-08"
"1007","40㎡一居 | 朝东 | 独居","制冷效果:良好\n日均运行:6小时\n月用电量:135度\n温差:±1℃","滤网寿命:剩余60天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","节能表现前5%","2025-08"
"1008","120㎡三居 | 西晒 | 三口之家 | 客厅大","制冷效果:优秀\n日均运行:11.5小时\n月用电量:290度\n温差:±0.5℃","滤网寿命:剩余45天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","西晒房间制冷效果佳","2025-08"
"1009","70㎡两居 | 南北通透 | 养狗","制冷效果:良好\n日均运行:7小时\n月用电量:185度\n温差:±1℃","滤网寿命:剩余50天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于同类17%","2025-08"
"1010","50㎡一居 | 朝北 | 出租房","制冷效果:良好\n日均运行:8小时\n月用电量:210度\n温差:±1.5℃","滤网寿命:剩余45天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","新滤网效果明显","2025-08"
"1001","30㎡公寓 | 西晒 | 独居 | 卧室","制冷效果:优秀\n日均运行:6.5小时\n月用电量:170度\n温差:±0.5℃","滤网寿命:剩余40天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于85%同户型用户","2025-09"
"1002","60㎡两居 | 朝南 | 情侣 | 客厅+卧室","制冷效果:良好\n日均运行:7.5小时\n月用电量:200度\n温差:±1℃","滤网寿命:剩余35天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","与同类持平","2025-09"
"1003","80㎡三居 | 东西向 | 有猫 | 客厅+卧室","制冷效果:一般\n日均运行:8.5小时\n月用电量:230度\n温差:±1.5℃","滤网寿命:剩余30天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","制冷效果低于同类15%","2025-09"
"1004","90㎡三居 | 北向 | 有老人 | 卧室+客厅","制冷效果:良好\n日均运行:9.5小时\n月用电量:250度\n温差:±1℃","滤网寿命:剩余45天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于75%同朝向用户","2025-09"
"1005","200㎡别墅 | 多房间 | 中央空调","制冷效果:优秀\n日均运行:12.5小时\n月用电量:430度\n温差:±0.5℃","滤网寿命:剩余50天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","能耗低于同类2%","2025-09"
"1006","100㎡复式 | 有儿童 | 上下层","制冷效果:一般\n日均运行:11.5小时\n月用电量:270度\n温差:±2℃","滤网寿命:剩余25天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","建议更换滤网","2025-09"
"1007","40㎡一居 | 朝东 | 独居","制冷效果:良好\n日均运行:5.5小时\n月用电量:120度\n温差:±1℃","滤网寿命:剩余55天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","节能表现前7%","2025-09"
"1008","120㎡三居 | 西晒 | 三口之家 | 客厅大","制冷效果:优秀\n日均运行:10.5小时\n月用电量:270度\n温差:±0.5℃","滤网寿命:剩余40天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","西晒房间制冷效果佳","2025-09"
"1009","70㎡两居 | 南北通透 | 养狗","制冷效果:良好\n日均运行:6.5小时\n月用电量:170度\n温差:±1℃","滤网寿命:剩余45天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于同类15%","2025-09"
"1010","50㎡一居 | 朝北 | 出租房","制冷效果:良好\n日均运行:7.5小时\n月用电量:200度\n温差:±1.5℃","滤网寿命:剩余40天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","整体表现良好","2025-09"
"1001","30㎡公寓 | 西晒 | 独居 | 卧室","制冷/热切换:正常\n日均运行:5小时\n月用电量:130度\n温差:±1℃","滤网寿命:剩余35天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于80%同户型用户","2025-10"
"1002","60㎡两居 | 朝南 | 情侣 | 客厅+卧室","制冷/热切换:正常\n日均运行:6小时\n月用电量:160度\n温差:±1.5℃","滤网寿命:剩余30天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","与同类持平","2025-10"
"1003","80㎡三居 | 东西向 | 有猫 | 客厅+卧室","制冷/热切换:正常\n日均运行:7小时\n月用电量:190度\n温差:±2℃","滤网寿命:剩余25天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","效果略低于平均","2025-10"
"1004","90㎡三居 | 北向 | 有老人 | 卧室+客厅","制冷/热切换:正常\n日均运行:8小时\n月用电量:210度\n温差:±1℃","滤网寿命:剩余40天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于70%同朝向用户","2025-10"
"1005","200㎡别墅 | 多房间 | 中央空调","制冷/热切换:正常\n日均运行:10小时\n月用电量:350度\n温差:±0.5℃","滤网寿命:剩余45天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","能耗低于同类5%","2025-10"
"1006","100㎡复式 | 有儿童 | 上下层","制冷/热切换:正常\n日均运行:9小时\n月用电量:220度\n温差:±2℃","滤网寿命:剩余20天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","滤网需更换","2025-10"
"1007","40㎡一居 | 朝东 | 独居","制冷/热切换:正常\n日均运行:4小时\n月用电量:90度\n温差:±1℃","滤网寿命:剩余50天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","节能表现前10%","2025-10"
"1008","120㎡三居 | 西晒 | 三口之家 | 客厅大","制冷/热切换:正常\n日均运行:8小时\n月用电量:210度\n温差:±1℃","滤网寿命:剩余35天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","西晒房间保温良好","2025-10"
"1009","70㎡两居 | 南北通透 | 养狗","制冷/热切换:正常\n日均运行:5小时\n月用电量:130度\n温差:±1.5℃","滤网寿命:剩余40天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于同类12%","2025-10"
"1010","50㎡一居 | 朝北 | 出租房","制冷/热切换:正常\n日均运行:6小时\n月用电量:160度\n温差:±2℃","滤网寿命:剩余35天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","表现稳定","2025-10"
"1001","30㎡公寓 | 西晒 | 独居 | 卧室","制热效果:良好\n日均运行:4小时\n月用电量:100度\n温差:±1℃","滤网寿命:剩余30天\n制冷剂:充足\n电辅热:偶尔开启\n压缩机状态:正常","优于78%同户型用户","2025-11"
"1002","60㎡两居 | 朝南 | 情侣 | 客厅+卧室","制热效果:良好\n日均运行:5小时\n月用电量:130度\n温差:±1.5℃","滤网寿命:剩余25天\n制冷剂:充足\n电辅热:偶尔开启\n压缩机状态:正常","与同类持平","2025-11"
"1003","80㎡三居 | 东西向 | 有猫 | 客厅+卧室","制热效果:一般\n日均运行:6小时\n月用电量:160度\n温差:±2℃","滤网寿命:剩余20天\n制冷剂:充足\n电辅热:经常开启\n压缩机状态:正常","制热效果低于同类12%","2025-11"
"1004","90㎡三居 | 北向 | 有老人 | 卧室+客厅","制热效果:良好\n日均运行:7小时\n月用电量:180度\n温差:±1℃","滤网寿命:剩余35天\n制冷剂:充足\n电辅热:开启\n压缩机状态:正常","优于72%同朝向用户","2025-11"
"1005","200㎡别墅 | 多房间 | 中央空调","制热效果:优秀\n日均运行:9小时\n月用电量:300度\n温差:±0.5℃","滤网寿命:剩余40天\n制冷剂:充足\n电辅热:智能控制\n压缩机状态:正常","能耗低于同类8%","2025-11"
"1006","100㎡复式 | 有儿童 | 上下层","制热效果:一般\n日均运行:8小时\n月用电量:200度\n温差:±2℃","滤网寿命:剩余15天\n制冷剂:充足\n电辅热:开启\n压缩机状态:正常","准备更换滤网","2025-11"
"1007","40㎡一居 | 朝东 | 独居","制热效果:良好\n日均运行:3小时\n月用电量:70度\n温差:±1℃","滤网寿命:剩余45天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","节能表现前15%","2025-11"
"1008","120㎡三居 | 西晒 | 三口之家 | 客厅大","制热效果:优秀\n日均运行:6小时\n月用电量:160度\n温差:±1℃","滤网寿命:剩余30天\n制冷剂:充足\n电辅热:偶尔开启\n压缩机状态:正常","西晒房间制热好","2025-11"
"1009","70㎡两居 | 南北通透 | 养狗","制热效果:良好\n日均运行:4小时\n月用电量:110度\n温差:±1.5℃","滤网寿命:剩余35天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于同类10%","2025-11"
"1010","50㎡一居 | 朝北 | 出租房","制热效果:一般\n日均运行:5小时\n月用电量:140度\n温差:±2.5℃","滤网寿命:剩余30天\n制冷剂:充足\n电辅热:开启\n压缩机状态:正常","电辅热效果良好","2025-11"
"1001","30㎡公寓 | 西晒 | 独居 | 卧室","制热效果:良好\n日均运行:5小时\n月用电量:120度\n温差:±1℃","滤网寿命:剩余25天\n制冷剂:充足\n电辅热:偶尔开启\n压缩机状态:正常","优于80%同户型用户","2025-12"
"1002","60㎡两居 | 朝南 | 情侣 | 客厅+卧室","制热效果:良好\n日均运行:6小时\n月用电量:150度\n温差:±1.5℃","滤网寿命:剩余20天\n制冷剂:充足\n电辅热:偶尔开启\n压缩机状态:正常","与同类持平","2025-12"
"1003","80㎡三居 | 东西向 | 有猫 | 客厅+卧室","制热效果:一般\n日均运行:7小时\n月用电量:180度\n温差:±2℃","滤网寿命:剩余15天\n制冷剂:充足\n电辅热:经常开启\n压缩机状态:正常","建议更换滤网","2025-12"
"1004","90㎡三居 | 北向 | 有老人 | 卧室+客厅","制热效果:良好\n日均运行:8小时\n月用电量:200度\n温差:±1℃","滤网寿命:剩余30天\n制冷剂:充足\n电辅热:开启\n压缩机状态:正常","优于75%同朝向用户","2025-12"
"1005","200㎡别墅 | 多房间 | 中央空调","制热效果:优秀\n日均运行:10小时\n月用电量:320度\n温差:±0.5℃","滤网寿命:剩余35天\n制冷剂:充足\n电辅热:智能控制\n压缩机状态:正常","能耗低于同类10%","2025-12"
"1006","100㎡复式 | 有儿童 | 上下层","制热效果:一般\n日均运行:9小时\n月用电量:220度\n温差:±2℃","滤网寿命:剩余10天\n制冷剂:充足\n电辅热:开启\n压缩机状态:正常","滤网即将到期","2025-12"
"1007","40㎡一居 | 朝东 | 独居","制热效果:良好\n日均运行:4小时\n月用电量:90度\n温差:±1℃","滤网寿命:剩余40天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","节能表现前12%","2025-12"
"1008","120㎡三居 | 西晒 | 三口之家 | 客厅大","制热效果:优秀\n日均运行:7小时\n月用电量:180度\n温差:±1℃","滤网寿命:剩余25天\n制冷剂:充足\n电辅热:偶尔开启\n压缩机状态:正常","西晒房间制热好","2025-12"
"1009","70㎡两居 | 南北通透 | 养狗","制热效果:良好\n日均运行:5小时\n月用电量:130度\n温差:±1.5℃","滤网寿命:剩余30天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于同类13%","2025-12"
"1010","50㎡一居 | 朝北 | 出租房","制热效果:一般\n日均运行:6小时\n月用电量:160度\n温差:±2.5℃","滤网寿命:剩余25天\n制冷剂:充足\n电辅热:开启\n压缩机状态:正常","整体表现稳定","2025-12"